"Spanish","English"
"Your payment was processed correctly","Su pago fue procesado correctamente"
"Error while saving the transaction","Error tecnico al guardar transaccion"
"Invalid Response","Respuesta Invalida"
"Payment process with ","Pago procesado por "
"New Payment ID >> ","Nuevo Payment ID >> "
"Status >> ","Status >> "
"Authorization Code >> ","Code de Autorización>> "
"Successful operation ","Operación Exitosa "
"Refund Fail","Fallo el Reembolso"
"Operation Fails ","Fallo la operación "
"SORRY! There is a problem with the connection, please try again later","Lo sentimos! Hay un problema con la conexión, por favor intente más tarde"
"Fail to Cancel","Fallo la cancelación"
"Operation Fails ","Fallo la operación "
"Payment declined","Pago rechazado"
"Payment Denied","Pago denegado"
"Technical error in the cancellation","Error técnico en la cancelación"
"Are you sure you want to refund this order?","¿Esta seguro que desea la cancelación de esta orden?"
"Activate","Activar"
"Client ID","Client ID"
"Secret","Secret"
"User Webhook","Usuario del Webhook"
"Pass Webhook","Password del Webhook"
"Test Environment", "Ambiente de Test"
"Refund", "Reembolso"
"Invalid Operation","Operación Invalida"
"Interest Rate", "Tasa de Interés"
"Regresar al carrito de compras", "Regresar al carrito de compras"
"Cancel and Refund", "Cancelar y Reembolsar"
"The user canceled the payment flow","El usuario cancelo el flujo de pago"
